method,event_array
<buzzfeed.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<buzzfeed.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""yixueresearch"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<buzzfeed.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""electionn"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}]"
<buzzfeed.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""electionn"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<buzzfeed.RepresentativeTests: void testAddBookmark()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""electionn"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<buzzfeed.RepresentativeTests: void testRemoveBookmark()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""electionn"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<buzzfeed.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<buzzfeed.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<buzzfeed.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<buzzfeed.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
