method,event_array
<SixPM.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open navigation drawer\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""aaa"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""missed""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@ap_password"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<SixPM.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open navigation drawer\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[6]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""missed""}]"
<SixPM.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open navigation drawer\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<SixPM.RepresentativeTests: void testAddress()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open navigation drawer\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""missed""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""xpath@//android.webkit.WebView[@content-desc=\""6pm Sign-In\""]/android.view.View[2]/android.view.View[5]/android.widget.EditText"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Sign-In\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/my_account_shipping"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/generic_add_to_fab"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""1234567890"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_line_1"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""90020"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_zip"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_city"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_state_spinner"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_save_btn"", ""action"": ""click"", ""case"": ""correct""}]"
<SixPM.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[1]/android.widget.ImageView"", ""action"": ""click"", ""case"": ""correct""}]"
<SixPM.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open navigation drawer\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<SixPM.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open navigation drawer\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[6]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout[2]/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.LinearLayout[9]/android.widget.RelativeLayout"", ""action"": ""click"", ""case"": ""correct""}]"
<SixPM.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open navigation drawer\""]"", ""action"": ""click"", ""case"": ""correct""}]"
<SixPM.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/menu_search"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/search_src_text"", ""action"": ""sendKeys"", ""case"": ""correct""}]"
<SixPM.RepresentativeTests: void testFilter()>,"[{""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/menu_search"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/search_src_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/search_filter_done_btn"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/menu_sort"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.appcompat.widget.LinearLayoutCompat/android.widget.FrameLayout/android.widget.ListView/android.widget.CheckedTextView[1]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/search_filter_done_btn"", ""action"": ""click"", ""case"": ""correct""}]"
