method,event_array
<AliExpress.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/home"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_email"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_temp"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<AliExpress.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/home"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_email"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_temp"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/bt_create_your_account"", ""action"": ""click"", ""case"": ""correct""}]"
<AliExpress.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/home"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/menuitem_settings"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<AliExpress.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/home"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_email"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_temp"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/menuitem_settings"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/textview_sign_in_status"", ""action"": ""click"", ""case"": ""correct""}]"
<AliExpress.RepresentativeTests: void testAddress()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/home"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_email"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_temp"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/menuitem_settings"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""aaa bbb"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""1234567890"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""aaa"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""90020"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<AliExpress.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""missed""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.LinearLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[1]/android.widget.ImageView"", ""action"": ""click"", ""case"": ""correct""}]"
<AliExpress.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/home"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_email"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_temp"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/menuitem_settings"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<AliExpress.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/home"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<AliExpress.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/home"", ""action"": ""click"", ""case"": ""correct""}]"
<AliExpress.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/search_box"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""missed""}]"
