method,event_array
<Ebay.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/login_fragment_sign_in_button"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""yourresearchiscool!"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/login_fragment_sign_in_button"", ""action"": ""click"", ""case"": ""correct""}]"
<Ebay.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/create_account_fragment_email_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/create_account_fragment_first_name_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/create_account_fragment_last_name_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yourresearchiscool!"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/create_account_fragment_password_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/create_account_fragment_create_account_button"", ""action"": ""click"", ""case"": ""correct""}]"
<Ebay.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open Menu\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[2]/android.widget.ListView/android.widget.LinearLayout[11]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<Ebay.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/login_fragment_sign_in_button"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""yourresearchiscool!"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/login_fragment_sign_in_button"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open Menu\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<Ebay.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open Menu\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[2]/android.widget.ListView/android.widget.LinearLayout[10]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<Ebay.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<Ebay.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open Menu\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[2]/android.widget.ListView/android.widget.LinearLayout[10]"", ""action"": ""click"", ""case"": ""correct""}]"
<Ebay.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open Menu\""]"", ""action"": ""click"", ""case"": ""correct""}]"
<Ebay.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.TextView[@content-desc=\""Search\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/search_src_text"", ""action"": ""sendKeys"", ""case"": ""correct""}]"
<Ebay.RepresentativeTests: void testFilter()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.TextView[@content-desc=\""Search\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/search_src_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<Ebay.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.TextView[@content-desc=\""Search\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/search_src_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/product_feed_image"", ""action"": ""click"", ""case"": ""correct""}]"
