method,event_array
<Etsy.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.home:id/login_fragment_sign_in_button"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.home:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<Etsy.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.contextlogic.home:id/create_account_fragment_first_name_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""bbb"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""missed""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.home:id/create_account_fragment_email_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""yixueresearch"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.home:id/create_account_fragment_password_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.home:id/create_account_fragment_create_account_button"", ""action"": ""click"", ""case"": ""correct""}]"
<Etsy.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<Etsy.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.home:id/login_fragment_sign_in_button"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.home:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""missed""}]"
<Etsy.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.home:id/search_mag_icon"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<Etsy.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<Etsy.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<Etsy.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.home:id/search_mag_icon"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.contextlogic.home:id/search_src_text"", ""action"": ""sendKeys"", ""case"": ""correct""}]"
<Etsy.RepresentativeTests: void testFilter()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.home:id/search_mag_icon"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.contextlogic.home:id/search_src_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""missed""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<Etsy.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.home:id/search_mag_icon"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.contextlogic.home:id/search_src_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.home:id/product_feed_image"", ""action"": ""click"", ""case"": ""correct""}]"
<Etsy.RepresentativeTests: void testAddCart()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.home:id/search_mag_icon"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.contextlogic.home:id/search_src_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.home:id/product_feed_image"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.home:id/action_bar_item_icon"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.home:id/product_details_fragment_add_to_cart_button"", ""action"": ""click"", ""case"": ""correct""}]"
<Etsy.RepresentativeTests: void testCart()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.home:id/search_mag_icon"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.contextlogic.home:id/search_src_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.home:id/product_feed_image"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.home:id/product_details_fragment_add_to_cart_button"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@text=\""Remove\""]"", ""action"": ""click"", ""case"": ""correct""}]"
<Etsy.RepresentativeTests: void testTerms()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout[2]/android.widget.FrameLayout/android.widget.ListView/android.widget.FrameLayout[4]"", ""action"": ""click"", ""case"": ""correct""}]"
