method,event_array
<Groupon.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/login_email"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/login_password"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/register_register"", ""action"": ""click"", ""case"": ""correct""}]"
<Groupon.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/sign_up"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aaa"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/login_email"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/login_password"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/register_register"", ""action"": ""click"", ""case"": ""correct""}]"
<Groupon.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<Groupon.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/login_email"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/login_password"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/register_register"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<Groupon.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<Groupon.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<Groupon.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/lbl_search"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/edt_keyword_search"", ""action"": ""sendKeys"", ""case"": ""correct""}]"
<Groupon.RepresentativeTests: void testFilter()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/lbl_search"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/edt_keyword_search"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/txt_sort_order"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/btn_save_filter"", ""action"": ""click"", ""case"": ""correct""}]"
<Groupon.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/lbl_search"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/edt_keyword_search"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/home_location_item_image"", ""action"": ""click"", ""case"": ""correct""}]"
<Groupon.RepresentativeTests: void testAddCart()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/login_email"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/login_password"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/register_register"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/lbl_search"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/edt_keyword_search"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/home_location_item_image"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
