method,event_array
<buzzfeed.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_for_you"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_browse"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_for_you"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_for_you"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/big_top_item_container"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yixueresearch"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/save"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_for_you"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}]"
<buzzfeed.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_browse"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_browse"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testAddBookmark()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/big_top_item_container"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/scale_text"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/scale_text"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/save"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/save"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/scale_text"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testRemoveBookmark()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_for_you"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/big_top_item_container"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/scale_text"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/save"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Back\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_for_you"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/androidx.recyclerview.widget.RecyclerView/android.widget.TextView[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_browse"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/component_headline_item_container"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/save"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/big_top_item_container"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/settings_bttn"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/android.view.ViewGroup/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[10]"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/component_headline_item_container"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/save"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/save"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_browse"", ""action"": ""click""}]"
