method,event_array
<buzzfeed.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_settings"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/setting_font_size"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_feedback"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yixueresearch"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/siginin_back"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_settings"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}]"
<buzzfeed.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/search_bar_layout"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testAddBookmark()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_feedback"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/search_bar_layout"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/back"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/siginin_back"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_saved"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testRemoveBookmark()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_feedback"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_settings"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/setting_font_size"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/setting_font_size"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/privacy_safety"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/privacy_setting_service_terms"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_saved"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/root"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_saved"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/search_bar_layout"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/back"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/siginin_back"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/siginin_back"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/search_bar_layout"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]"", ""action"": ""click""}]"
