method,event_array
<AliExpress.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.CheckedTextView[@text=\""Account\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/my_account_shipping"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/generic_add_to_fab"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_zip"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_zip"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/my_account_shipping"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[5]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open navigation drawer\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[3]"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@ap_customer_name"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""xpath@//android.widget.EditText[@content-desc=\""Your email address\""]"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ScrollView/android.widget.LinearLayout/android.view.ViewGroup/android.widget.LinearLayout/android.view.ViewGroup/android.widget.TextView[2]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[1]/android.widget.ImageView"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ScrollView/android.widget.LinearLayout/android.view.ViewGroup/android.widget.LinearLayout/android.view.ViewGroup/android.widget.TextView[2]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[1]/android.widget.ImageView"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[1]/android.widget.ImageView"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[1]/android.widget.ImageView"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testAddress()>,"[{""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/menu_search"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/menu_search"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[3]"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_city"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""id@android:id/text1"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/my_account_shipping"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/generic_add_to_fab"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/my_account_shipping"", ""action"": ""click""}, {""input"": ""aaa bbb"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_phone"", ""action"": ""sendKeys""}, {""input"": ""1234567890"", ""id_or_xpath"": ""id@android:id/text1"", ""action"": ""sendKeys""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@android:id/text1"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/my_account_shipping"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/my_account_shipping"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_state_spinner"", ""action"": ""click""}, {""input"": ""90020"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_city"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_save_btn"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.CheckedTextView[@text=\""Account\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/my_account_shipping"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/menu_search"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[3]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@text=\""Create your 6pm account\""]"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_zip"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_phone"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_save_btn"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_state_spinner"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/generic_add_to_fab"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[5]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/menu_search"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[3]"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open navigation drawer\""]"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}]"
