method,event_array
<Etsy.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[5]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open navigation drawer\""]"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/search_src_text"", ""action"": ""sendKeys""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@android:id/button1"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.CheckedTextView[@text=\""Account\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_state_spinner"", ""action"": ""click""}, {""input"": ""aaa"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_phone"", ""action"": ""sendKeys""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_line_1"", ""action"": ""sendKeys""}, {""input"": ""yixueresearch"", ""id_or_xpath"": ""id@android:id/text1"", ""action"": ""sendKeys""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_phone"", ""action"": ""sendKeys""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_zip"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/generic_add_to_fab"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[5]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.CheckedTextView[@text=\""Account\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_state_spinner"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open navigation drawer\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/menu_search"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/search_src_text"", ""action"": ""sendKeys""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@android:id/button1"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.appcompat.widget.LinearLayoutCompat/android.widget.FrameLayout/android.widget.ListView/android.widget.CheckedTextView[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@android:id/button1"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[3]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/generic_add_to_fab"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[5]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[6]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.TextView[@text=\""More Info\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout[2]/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.LinearLayout[7]/android.widget.RelativeLayout"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[5]"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[3]"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@ap_password"", ""action"": ""sendKeys""}]"
<Etsy.RepresentativeTests: void testFilter()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[3]"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_city"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/my_account_shipping"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_save_btn"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/add_update_shipping_address_address_state_spinner"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.zappos.android.sixpmFlavor:id/generic_add_to_fab"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[3]"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""xpath@//android.widget.EditText[@content-desc=\""Your email address\""]"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.view.View[@content-desc=\""Forgot password?\""]"", ""action"": ""click""}]"
