method,event_array
<Geek.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/home"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/menuitem_help_contact"", ""action"": ""click""}]"
<Geek.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/action_view_icon"", ""action"": ""click""}, {""input"": ""aaa"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""bbb"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/menuitem_help_contact"", ""action"": ""click""}]"
<Geek.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/search_box"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.ebay.mobile:id/search_src_text"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ListView/android.widget.LinearLayout[2]/android.widget.CheckedTextView"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/image"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<Geek.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/textview_sign_in_status"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_register"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<Geek.RepresentativeTests: void testFilter()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/menuitem_help_contact"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_register"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_classic"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/bt_continue"", ""action"": ""click""}]"
<Geek.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.TextView[@content-desc=\""Categories button\""]"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.LinearLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[1]/android.widget.ImageView"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/action_view_icon"", ""action"": ""click""}]"
<Geek.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_sign_in"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_classic"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_forgot"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_forgot"", ""action"": ""click""}]"
<Geek.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/menuitem_help_contact"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/textview_sign_in_status"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<Geek.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/search_box"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.ebay.mobile:id/search_src_text"", ""action"": ""sendKeys""}]"
<Geek.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/home"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/menuitem_settings"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@recommend_call_us"", ""action"": ""click""}]"
