method,event_array
<GoogleExpress.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[2]/android.widget.ImageView"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]"", ""action"": ""click""}, {""input"": ""myresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/about_row"", ""action"": ""click""}]"
<GoogleExpress.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/btn_link"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/forgot_password_link"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/forgot_password_link"", ""action"": ""click""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_register"", ""action"": ""click""}]"
<GoogleExpress.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/btn_link"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/btn_register_dialog"", ""action"": ""click""}]"
<GoogleExpress.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/menu_search"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.etsy.android:id/search_src_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/search_filters_sort_by_text"", ""action"": ""click""}, {""input"": ""myresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.FrameLayout[3]/android.view.ViewGroup/android.widget.ImageView[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/cart_icon"", ""action"": ""click""}]"
<GoogleExpress.RepresentativeTests: void testAddress()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/about_row"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.view.View[@content-desc=\""Read our help page\""]"", ""action"": ""click""}, {""input"": ""myresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.view.View[@content-desc=\""Read our help page\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.view.View[@content-desc=\""Read our help page\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.view.View[@content-desc=\""Read our help page\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""aaa"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""aaa"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""bbb"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.view.View[@content-desc=\""Read our help page\""]"", ""action"": ""click""}, {""input"": ""90000"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""1234567890"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<GoogleExpress.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/menu_search"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/search_filters_sort_by_text"", ""action"": ""click""}]"
<GoogleExpress.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/legal_row"", ""action"": ""click""}]"
<GoogleExpress.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[2]/android.widget.ImageView"", ""action"": ""click""}]"
<GoogleExpress.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/about_row"", ""action"": ""click""}]"
<GoogleExpress.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[2]/android.widget.ImageView"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}]"
