method,event_array
<Groupon.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_forgot_password_button"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_forgot_password_button"", ""action"": ""click""}]"
<Groupon.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_create_account_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_email_text"", ""action"": ""sendKeys""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_email_text"", ""action"": ""sendKeys""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_last_name_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_create_account_button"", ""action"": ""click""}]"
<Groupon.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_forgot_password_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_create_account_button"", ""action"": ""click""}]"
<Groupon.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_create_account_button"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_first_name_text"", ""action"": ""sendKeys""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_last_name_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_create_account_button"", ""action"": ""click""}]"
<Groupon.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_forgot_password_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_forgot_password_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click""}]"
<Groupon.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout[4]/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.LinearLayout"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/filter_fragment_row_main_text"", ""action"": ""click""}]"
<Groupon.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_create_account_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_create_account_button"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}]"
<Groupon.RepresentativeTests: void testFilter()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/menu_profile_background"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_create_account_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<Groupon.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_create_account_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_create_account_button"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ListView/android.widget.FrameLayout[4]"", ""action"": ""click""}]"
<Groupon.RepresentativeTests: void testAddCart()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.TextView[@content-desc=\""Search\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/search_src_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout[1]/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ImageView"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/product_details_fragment_add_to_cart_button"", ""action"": ""click""}]"
<Groupon.RepresentativeTests: void testCart()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_forgot_password_button"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.TextView[@content-desc=\""Filter\""]"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/menu_profile_background"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.TextView[@content-desc=\""Filter\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/menu_profile_background"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<Groupon.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_create_account_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_create_account_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ListView/android.widget.FrameLayout[4]"", ""action"": ""click""}]"
<Groupon.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout[3]/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.LinearLayout"", ""action"": ""click""}]"
<Groupon.RepresentativeTests: void testTerms()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_create_account_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_create_account_button"", ""action"": ""click""}]"
