method,event_array
<Home.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]/android.support.v7.widget.RecyclerView/android.support.design.card.MaterialCardView[1]/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ImageView"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/search_panel_action_text"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testSignUp()>,"[{""input"": ""aaa"", ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/open_search_view_edit_text"", ""action"": ""sendKeys""}, {""input"": ""bbb"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.ListView/android.widget.RelativeLayout[1]"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/open_search_bar_text_view"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/open_search_view_edit_text"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/search_panel_action_text"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/cart_action_icon"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/move_to_shopping_list"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.support.v7.widget.LinearLayoutCompat[5]/android.widget.CheckedTextView"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ListView/android.widget.LinearLayout[4]/android.widget.LinearLayout"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.helprtc:id/gh_help_content_line_item"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.support.v7.widget.LinearLayoutCompat[4]/android.widget.CheckedTextView"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]/android.widget.RelativeLayout"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/navigation_action_browse"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/navigation_action_account"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ListView/android.widget.LinearLayout[5]/android.widget.LinearLayout"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/og_tos_button"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/open_search_bar_text_view"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/open_search_view_edit_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/filter_drawer_text"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/search_panel_action_text"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/search_panel_action_text"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/open_search_bar_text_view"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/open_search_view_edit_text"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/search_panel_action_text"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/filter_drawer_text"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/welcome_btn_get_started"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.support.v7.widget.LinearLayoutCompat[5]/android.widget.CheckedTextView"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ListView/android.widget.LinearLayout[4]/android.widget.LinearLayout"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}]"
<Home.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/welcome_btn_get_started"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/open_search_view_edit_text"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.ListView/android.widget.RelativeLayout[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.ListView/android.widget.RelativeLayout[1]"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/search_panel_action_text"", ""action"": ""click""}]"
