method,event_array
<buzzfeed.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/tv_tv_login"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/tv_tv_login"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yixueresearch"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/search_item_menu"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""xpath@//android.view.ViewGroup[@content-desc=\"" search text input\""]/android.widget.EditText"", ""action"": ""sendKeys""}]"
<buzzfeed.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/search_item_menu"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""xpath@//android.view.ViewGroup[@content-desc=\"" search text input\""]/android.widget.EditText"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ScrollView/android.view.ViewGroup/android.view.ViewGroup[1]"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testAddBookmark()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/tv_tv_login"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/search_item_menu"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""xpath@//android.view.ViewGroup[@content-desc=\"" search text input\""]/android.widget.EditText"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ScrollView/android.view.ViewGroup/android.view.ViewGroup[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/toolbar_save"", ""action"": ""click"", ""info"": ""multiple in src""}]"
<buzzfeed.RepresentativeTests: void testRemoveBookmark()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/tv_tv_login"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/search_item_menu"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""xpath@//android.view.ViewGroup[@content-desc=\"" search text input\""]/android.widget.EditText"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ScrollView/android.view.ViewGroup/android.view.ViewGroup[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/toolbar_save"", ""action"": ""click"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/toolbar_back_button_container"", ""action"": ""click"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/toolbar_back_button_container"", ""action"": ""click"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/saved_story_item_menu"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ScrollView/android.view.ViewGroup/android.view.ViewGroup[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/toolbar_save"", ""action"": ""click"", ""info"": ""multiple in src""}]"
<buzzfeed.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/tv_tv_login"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/settings_item_menu"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//androidx.appcompat.app.a.c[@content-desc=\""World\""]"", ""action"": ""click""}]"
<buzzfeed.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/tv_tv_login"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/tv_feedback_link"", ""action"": ""click"", ""info"": ""multiple in src""}]"
<buzzfeed.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
