method,event_array
<AliExpress.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/profile_image"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/tv_un_login"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/btn_sign_in"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/profile_image"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/tv_un_login"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/btn_register"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_register_btn"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/profile_image"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[10]"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[10]"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<AliExpress.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/profile_image"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/tv_un_login"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/btn_sign_in"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[10]"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/profile_image"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<AliExpress.RepresentativeTests: void testAddress()>,"[{""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/profile_image"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/tv_un_login"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/btn_sign_in"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[10]"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/iv_shipping_address"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/ll_add_address"", ""action"": ""click""}, {""input"": ""aaa bbb"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/etfwc_base_edit_text"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""1234567890"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/edit_address_tel_mobile"", ""action"": ""sendKeys""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/edit_address_street_line1"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/edit_address_province"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rb_selected_item"", ""action"": ""click"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rb_selected_item"", ""action"": ""click"", ""info"": ""multiple in src""}, {""input"": ""90020"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/etfwc_base_edit_text"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/btn_address_add"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.FrameLayout[3]/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]/android.widget.TextView"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[2]/android.widget.RelativeLayout/android.widget.FrameLayout[1]/android.widget.RelativeLayout/android.widget.LinearLayout"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<AliExpress.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/profile_image"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/tv_un_login"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/btn_sign_in"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[10]"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[12]"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<AliExpress.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/profile_image"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[13]"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<AliExpress.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/profile_image"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<AliExpress.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/search_hint"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/abs__search_src_text"", ""action"": ""sendKeys""}]"
