method,event_array
<AliExpress.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/navigation_action_account"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/account_drop_down_arrow"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""xpath@//android.webkit.WebView[@content-desc=\""Welcome\""]/android.view.View/android.view.View[3]"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Next\""]"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/navigation_action_account"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Spinner[@content-desc=\""Create account\""]"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""xpath@//android.webkit.WebView[@content-desc=\""Welcome\""]/android.view.View/android.view.View[3]"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Next\""]"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/navigation_action_account"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.support.v7.widget.LinearLayoutCompat[4]/android.widget.CheckedTextView"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ListView/android.widget.LinearLayout[4]/android.widget.LinearLayout"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/navigation_action_account"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/account_drop_down_arrow"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""xpath@//android.webkit.WebView[@content-desc=\""Welcome\""]/android.view.View/android.view.View[3]"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Next\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.support.v7.widget.LinearLayoutCompat[4]/android.widget.CheckedTextView"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/navigation_action_account"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testAddress()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/navigation_action_account"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/account_drop_down_arrow"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""xpath@//android.webkit.WebView[@content-desc=\""Welcome\""]/android.view.View/android.view.View[3]"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Next\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.support.v7.widget.LinearLayoutCompat[4]/android.widget.CheckedTextView"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]/android.widget.RelativeLayout"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/empty_address_screen_add_address_button"", ""action"": ""click""}, {""input"": ""aaa bbb"", ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/address_recipient"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""1234567890"", ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/phone_number"", ""action"": ""sendKeys""}, {""input"": ""aaa"", ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.LinearLayout[3]/android.widget.FrameLayout/android.widget.EditText"", ""action"": ""sendKeys"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/address_state_spinner"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@android:id/text1"", ""action"": ""click"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@android:id/text1"", ""action"": ""click"", ""info"": ""multiple in src""}, {""input"": ""90020"", ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/address_recipient"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/save_address_button"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/navigation_action_browse"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]/android.support.v7.widget.RecyclerView/android.support.design.card.MaterialCardView[1]/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ImageView"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<AliExpress.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/navigation_action_account"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/account_drop_down_arrow"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""xpath@//android.webkit.WebView[@content-desc=\""Welcome\""]/android.view.View/android.view.View[3]"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Next\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.support.v7.widget.LinearLayoutCompat[4]/android.widget.CheckedTextView"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.gms:id/gh_feedback_option"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<AliExpress.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/navigation_action_account"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.support.v7.widget.LinearLayoutCompat[5]/android.widget.CheckedTextView"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/navigation_action_account"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/open_search_bar_text_view"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/open_search_view_edit_text"", ""action"": ""sendKeys""}]"
