method,event_array
<GoogleExpress.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""info"": ""multiple in src""}, {""input"": ""myresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""info"": ""multiple in src""}]"
<GoogleExpress.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_first_name_text"", ""action"": ""sendKeys""}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_last_name_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""info"": ""multiple in src""}]"
<GoogleExpress.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/menu_profile_background"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[2]/android.widget.ListView/android.widget.LinearLayout[13]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open Menu\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<GoogleExpress.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""info"": ""multiple in src""}, {""input"": ""myresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/menu_profile_background"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<GoogleExpress.RepresentativeTests: void testAddress()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""info"": ""multiple in src""}, {""input"": ""myresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/menu_profile_background"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout[3]/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.LinearLayout"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ListView/android.widget.FrameLayout[4]/android.widget.TextView"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/address_book_footer_text"", ""action"": ""click""}, {""input"": ""aaa"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/shipping_address_form_street_address_text"", ""action"": ""sendKeys""}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/shipping_address_form_city_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/shipping_address_form_state_spinner"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ListView/android.widget.CheckedTextView[2]"", ""action"": ""click""}, {""input"": ""90000"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/shipping_address_form_zip_postal_text"", ""action"": ""sendKeys""}, {""input"": ""1234567890"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/shipping_address_form_phone_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/cart_fragment_cart_shipping_floating_done_button"", ""action"": ""click""}]"
<GoogleExpress.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.widget.TextView[2]"", ""action"": ""click""}]"
<GoogleExpress.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/menu_profile_background"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[2]/android.widget.ListView/android.widget.LinearLayout[13]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[2]/android.widget.ListView/android.widget.LinearLayout[12]"", ""action"": ""click""}]"
<GoogleExpress.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/menu_profile_background"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<GoogleExpress.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/menu_profile_background"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[2]/android.widget.ListView/android.widget.LinearLayout[13]"", ""action"": ""click""}]"
<GoogleExpress.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//android.widget.TextView[@content-desc=\""Search\""]"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/search_src_text"", ""action"": ""sendKeys""}]"
