method,event_array
<Groupon.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click"", ""info"": ""multiple in src""}]"
<Groupon.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/btn_register"", ""action"": ""click""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_first_name"", ""action"": ""sendKeys""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click"", ""info"": ""multiple in src""}]"
<Groupon.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/profile_image"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[10]"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<Groupon.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/profile_image"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<Groupon.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.FrameLayout[3]/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]/android.widget.TextView"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[2]/android.widget.RelativeLayout/android.widget.FrameLayout[1]/android.widget.RelativeLayout/android.widget.LinearLayout"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<Groupon.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/profile_image"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[12]"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<Groupon.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/search_hint"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/abs__search_src_text"", ""action"": ""sendKeys""}]"
<Groupon.RepresentativeTests: void testFilter()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/search_hint"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/abs__search_src_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/tv_spinner_item"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ListView/android.widget.LinearLayout[2]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<Groupon.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/search_hint"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/abs__search_src_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/riv_productsummary_img"", ""action"": ""click""}]"
<Groupon.RepresentativeTests: void testAddCart()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/search_hint"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/abs__search_src_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/riv_productsummary_img"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/ll_addToCart"", ""action"": ""click""}]"
