method,event_array
<Home.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_temp"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_sign_in"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testSignUp()>,"[{""input"": ""aaa"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_first_name"", ""action"": ""sendKeys""}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_last_name"", ""action"": ""sendKeys""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_email"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_temp"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/bt_create_your_account"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_temp"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_sign_in"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/home"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/menuitem_settings"", ""action"": ""click"", ""info"": ""multiple in src""}]"
<Home.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_temp"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_sign_in"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/home"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/textview_sign_in_status"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_temp"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_sign_in"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.LinearLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[1]/android.widget.ImageView"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_temp"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_sign_in"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/home"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@recommend_call_us"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_temp"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_sign_in"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/home"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/menuitem_help_contact"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_temp"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_sign_in"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/home"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_temp"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_sign_in"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/search_box"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.ebay.mobile:id/search_src_text"", ""action"": ""sendKeys""}]"
<Home.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.ebay.mobile:id/et_temp"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/button_sign_in"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/search_box"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.ebay.mobile:id/search_src_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.ebay.mobile:id/image"", ""action"": ""click""}]"
