method,event_array
<Home.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""xpath@//android.webkit.WebView[@content-desc=\""Welcome\""]/android.view.View/android.view.View[3]"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Next\""]"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testSignUp()>,"[{""input"": ""aaa"", ""id_or_xpath"": ""xpath@//android.widget.EditText[@content-desc=\""First name\""]"", ""action"": ""sendKeys""}, {""input"": ""bbb"", ""id_or_xpath"": ""xpath@//android.widget.EditText[@content-desc=\""Last name\""]"", ""action"": ""sendKeys""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Next\""]"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""xpath@//android.webkit.WebView[@content-desc=\""Welcome\""]/android.view.View/android.view.View[3]"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Next\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageView[@content-desc=\""More options\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.support.v7.widget.LinearLayoutCompat[4]/android.widget.CheckedTextView"", ""action"": ""click"", ""info"": ""multiple in src""}]"
<Home.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""xpath@//android.webkit.WebView[@content-desc=\""Welcome\""]/android.view.View/android.view.View[3]"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Next\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageView[@content-desc=\""More options\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/navigation_action_account"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""xpath@//android.webkit.WebView[@content-desc=\""Welcome\""]/android.view.View/android.view.View[3]"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Next\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]/android.support.v7.widget.RecyclerView/android.support.design.card.MaterialCardView[1]/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ImageView"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<Home.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""xpath@//android.webkit.WebView[@content-desc=\""Welcome\""]/android.view.View/android.view.View[3]"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Next\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageView[@content-desc=\""More options\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.gms:id/gh_feedback_option"", ""action"": ""click"", ""info"": ""multiple in tgt""}]"
<Home.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""xpath@//android.webkit.WebView[@content-desc=\""Welcome\""]/android.view.View/android.view.View[3]"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Next\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageView[@content-desc=\""More options\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.support.v7.widget.LinearLayoutCompat[5]/android.widget.CheckedTextView"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""xpath@//android.webkit.WebView[@content-desc=\""Welcome\""]/android.view.View/android.view.View[3]"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Next\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageView[@content-desc=\""More options\""]"", ""action"": ""click""}]"
<Home.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""xpath@//android.webkit.WebView[@content-desc=\""Welcome\""]/android.view.View/android.view.View[3]"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Next\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/open_search_bar_text_view"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/open_search_view_edit_text"", ""action"": ""sendKeys""}]"
<Home.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""xpath@//android.webkit.WebView[@content-desc=\""Welcome\""]/android.view.View/android.view.View[3]"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.Button[@content-desc=\""Next\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/open_search_bar_text_view"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/open_search_view_edit_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.google.android.apps.shopping.express:id/srp_grid_product_card_image"", ""action"": ""click""}]"
